province,first_case,total_cases,total_deaths
Algiers,13 March 2020,5842,145
Blida,1 March 2020,4176,131
Oran,21 March 2020,3986,22
Sétif,19 March 2020,3253,61
Béjaïa,17 March 2020,1867,28
Batna,25 March 2020,1904,17
Constantine,22 March 2020,1665,25
Annaba,17 March 2020,1493,10
Tipaza,22 March 2020,1423,37
M'Sila,30 March 2020,1329,29
Bouira,16 March 2020,1316,13
Tlemcen,23 March 2020,1340,8
Biskra,25 March 2020,1291,12
Ouargla,30 March 2020,1289,26
Djelfa,26 March 2020,1199,11
Tizi Ouzou,12 March 2020,1278,16
El Oued,18 March 2020,1105,23
Boumerdès,18 March 2020,1058,10
Jijel,22 March 2020,1105,8
Tiaret,2 April 2020,949,22
Tebessa,3 April 2020,964,24
Médéa,18 March 2020,796,19
Ain Defla,24 March 2020,775,9
Mostaganem,23 March 2020,761,4
Oum El Bouaghi,25 March 2020,730,10
Laghouat,24 March 2020,697,9
Skikda,12 March 2020,691,8
Ain Temouchent,23 March 2020,683,5
Adrar,15 March 2020,644,8
Khenchela,20 March 2020,596,5
Guelma,26 March 2020,534,1
Ghardaïa,26 March 2020,438,10
Tissemsilt,19 March 2020,431,5
Bordj Bou Arréridj,16 March 2020,422,30
Sidi Bel Abbes,23 March 2020,420,16
Mila,4 April 2020,429,11
Souk Ahras,12 March 2020,435,7
Béchar,3 April 2020,348,3
Mascara,5 March 2020,333,12
Naâma,6 April 2020,263,1
El Taref,26 March 2020,290,1
El Bayadh,6 April 2020,232,6
Chlef,23 March 2020,240,3
Relizane,23 March 2020,213,3
Tindouf,1 May 2020,205,1
Tamanrasset,13 April 2020,202,4
Illizi,31 March 2020,135,0
Saïda,10 April 2020,72,0
