date,new_cases,new_deaths
31/12/2019,0.0,0.0
01/01/2020,0.0,0.0
02/01/2020,0.0,0.0
03/01/2020,0.0,0.0
04/01/2020,0.0,0.0
05/01/2020,0.0,0.0
06/01/2020,0.0,0.0
07/01/2020,0.0,0.0
08/01/2020,0.0,0.0
09/01/2020,0.0,0.0
10/01/2020,0.0,0.0
11/01/2020,0.0,0.0
12/01/2020,0.0,0.0
13/01/2020,0.0,0.0
14/01/2020,0.0,0.0
15/01/2020,0.0,0.0
16/01/2020,0.0,0.0
17/01/2020,0.0,0.0
18/01/2020,0.0,0.0
19/01/2020,0.0,0.0
20/01/2020,0.0,0.0
21/01/2020,0.0,0.0
22/01/2020,0.0,0.0
23/01/2020,0.0,0.0
24/01/2020,0.0,0.0
25/01/2020,0.0,0.0
26/01/2020,0.0,0.0
27/01/2020,0.0,0.0
28/01/2020,0.0,0.0
29/01/2020,0.0,0.0
30/01/2020,0.0,0.0
31/01/2020,0.0,0.0
01/02/2020,0.0,0.0
02/02/2020,0.0,0.0
03/02/2020,0.0,0.0
04/02/2020,0.0,0.0
05/02/2020,0.0,0.0
06/02/2020,0.0,0.0
07/02/2020,0.0,0.0
08/02/2020,0.0,0.0
09/02/2020,0.0,0.0
10/02/2020,0.0,0.0
11/02/2020,0.0,0.0
12/02/2020,0.0,0.0
13/02/2020,0.0,0.0
14/02/2020,0.0,0.0
15/02/2020,0.0,0.0
16/02/2020,0.0,0.0
17/02/2020,0.0,0.0
18/02/2020,0.0,0.0
19/02/2020,0.0,0.0
20/02/2020,0.0,0.0
21/02/2020,0.0,0.0
22/02/2020,0.0,0.0
23/02/2020,0.0,0.0
24/02/2020,0.0,0.0
25/02/2020,0.0,0.0
26/02/2020,1.0,0.0
27/02/2020,0.0,0.0
28/02/2020,0.0,0.0
29/02/2020,0.0,0.0
01/03/2020,2.0,0.0
02/03/2020,0.0,0.0
03/03/2020,,
04/03/2020,2.0,0.0
05/03/2020,7.0,0.0
06/03/2020,5.0,0.0
07/03/2020,,
08/03/2020,,
09/03/2020,3.0,0.0
10/03/2020,,
11/03/2020,,
12/03/2020,0.0,0.0
13/03/2020,5.0,1.0
14/03/2020,1.0,1.0
15/03/2020,11.0,0.0
16/03/2020,11.0,2.0
17/03/2020,10.0,0.0
18/03/2020,2.0,1.0
19/03/2020,12.0,1.0
20/03/2020,18.0,1.0
21/03/2020,12.0,3.0
22/03/2020,37.0,5.0
23/03/2020,62.0,2.0
24/03/2020,29.0,0.0
25/03/2020,34.0,2.0
26/03/2020,38.0,2.0
27/03/2020,65.0,4.0
28/03/2020,42.0,1.0
29/03/2020,45.0,3.0
30/03/2020,57.0,2.0
31/03/2020,73.0,4.0
01/04/2020,132.0,9.0
02/04/2020,131.0,14.0
03/04/2020,139.0,5.0
04/04/2020,185.0,42.0
05/04/2020,80.0,25.0
06/04/2020,69.0,22.0
07/04/2020,103.0,21.0
08/04/2020,45.0,20.0
09/04/2020,104.0,12.0
10/04/2020,94.0,30.0
11/04/2020,95.0,21.0
12/04/2020,64.0,19.0
13/04/2020,89.0,18.0
14/04/2020,69.0,20.0
15/04/2020,87.0,12.0
16/04/2020,90.0,11.0
17/04/2020,108.0,12.0
18/04/2020,150.0,16.0
19/04/2020,117.0,3.0
20/04/2020,94.0,8.0
21/04/2020,89.0,9.0
22/04/2020,93.0,8.0
23/04/2020,99.0,10.0
24/04/2020,97.0,5.0
25/04/2020,120.0,8.0
26/04/2020,129.0,4.0
27/04/2020,126.0,6.0
28/04/2020,135.0,7.0
29/04/2020,132.0,5.0
30/04/2020,199.0,7.0
01/05/2020,158.0,6.0
02/05/2020,148.0,3.0
03/05/2020,141.0,6.0
04/05/2020,179.0,4.0
05/05/2020,174.0,2.0
06/05/2020,190.0,5.0
07/05/2020,159.0,6.0
08/05/2020,185.0,7.0
09/05/2020,187.0,5.0
10/05/2020,189.0,6.0
11/05/2020,165.0,8.0
12/05/2020,168.0,5.0
13/05/2020,176.0,8.0
14/05/2020,186.0,7.0
15/05/2020,189.0,7.0
16/05/2020,187.0,7.0
17/05/2020,192.0,6.0
18/05/2020,198.0,6.0
19/05/2020,182.0,7.0
20/05/2020,176.0,6.0
21/05/2020,165.0,7.0
22/05/2020,186.0,7.0
23/05/2020,190.0,7.0
24/05/2020,195.0,10.0
25/05/2020,193.0,8.0
26/05/2020,197.0,9.0
27/05/2020,194.0,8.0
28/05/2020,160.0,6.0
29/05/2020,140.0,7.0
30/05/2020,137.0,8.0
31/05/2020,133.0,8.0
01/06/2020,127.0,7.0
02/06/2020,119.0,8.0
03/06/2020,113.0,6.0
04/06/2020,0.0,0.0
05/06/2020,205.0,14.0
06/06/2020,104.0,9.0
07/06/2020,115.0,8.0
08/06/2020,104.0,9.0
09/06/2020,111.0,8.0
10/06/2020,117.0,9.0
11/06/2020,102.0,8.0
12/06/2020,105.0,9.0
13/06/2020,109.0,10.0
14/06/2020,112.0,9.0
15/06/2020,109.0,7.0
16/06/2020,112.0,10.0
17/06/2020,116.0,11.0
18/06/2020,121.0,11.0
19/06/2020,117.0,12.0
20/06/2020,119.0,14.0
21/06/2020,127.0,12.0
22/06/2020,140.0,8.0
23/06/2020,149.0,7.0
24/06/2020,156.0,9.0
25/06/2020,172.0,8.0
26/06/2020,197.0,9.0
27/06/2020,240.0,7.0
28/06/2020,283.0,7.0
29/06/2020,305.0,5.0
30/06/2020,298.0,8.0
01/07/2020,336.0,7.0
02/07/2020,365.0,8.0
03/07/2020,385.0,8.0
04/07/2020,413.0,9.0
05/07/2020,430.0,9.0
06/07/2020,441.0,6.0
07/07/2020,463.0,7.0
08/07/2020,475.0,9.0
09/07/2020,469.0,10.0
10/07/2020,460.0,10.0
11/07/2020,434.0,8.0
12/07/2020,470.0,8.0
13/07/2020,483.0,7.0
14/07/2020,494.0,7.0
15/07/2020,527.0,10.0
16/07/2020,554.0,12.0
17/07/2020,585.0,12.0
18/07/2020,593.0,5.0
19/07/2020,601.0,11.0
20/07/2020,535.0,10.0
21/07/2020,607.0,9.0
22/07/2020,587.0,13.0
23/07/2020,594.0,11.0
24/07/2020,612.0,13.0
25/07/2020,675.0,12.0
26/07/2020,605.0,10.0
27/07/2020,593.0,9.0
28/07/2020,616.0,8.0
