location,total_cases,total_deaths,total_tests
Algeria,45158.0,1525.0,
Bahrain,52440.0,190.0,1118837.0
Comoros,427.0,7.0,
Djibouti,5387.0,60.0,
Egypt,99280.0,5461.0,
Iraq,242284.0,7201.0,1624331.0
Jordan,2161.0,15.0,
Kuwait,86478.0,535.0,621616.0
Lebanon,18375.0,177.0,
Libya,15156.0,250.0,
Mauritania,7089.0,160.0,
Morocco,65453.0,1216.0,1956416.0
Oman,85928.0,689.0,
Palestine,31333.0,184.0,
Qatar,119206.0,199.0,634745.0
Saudi Arabia,317486.0,3956.0,5160518.0
Somalia,3310.0,98.0,
Sudan,13189.0,823.0,
Syria,2898.0,120.0,
Tunisia,4196.0,81.0,140714.0
United Arab Emirates,71540.0,387.0,7177430.0
Yemen,1976.0,571.0,
